Title,Release Date,Overview,Popularity,Vote Average,Vote Count,Keywords,Runtime,Cast,Director,Editor,Poster URL
365 Days: This Day,2022-04-26,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",31.2449,5.896,1706,"gangster, sequel, bdsm, rich man poor woman, sex, erotique",111,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze","Barbara Białowąs, Tomasz Mandes",Marcin Drewnowski,https://image.tmdb.org/t/p/w200/iLmG3HCXVyqXYbFvUO1rfOeGa3Z.jpg
Where the Crawdads Sing,2022-07-14,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",20.6252,7.566,1962,"based on novel or book, artist, bullying, alcoholism, coming of age, survival, domestic abuse, first love, marsh, boyfriend girlfriend relationship, social outcast, jury trial, naturalist, murder mystery, murder trial, 1960s, alcohol problems, courtroom drama, abusive alcoholic, abusive boyfriend, a",126,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, Michael Hyatt, Sterling Macer Jr.",Olivia Newman,Alan Edward Bell,https://image.tmdb.org/t/p/w200/n1el846gLDXfhOvrRCsyvaAOQWv.jpg
The Next 365 Days,2022-08-18,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,13.8289,6.359,1210,"gangster, bdsm, rich man poor woman, disrespectful",112,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze","Tomasz Mandes, Barbara Białowąs",Marcin Drewnowski,https://image.tmdb.org/t/p/w200/5r9RI0IqztfZJ4C4uSdyoiFYvOB.jpg
Through My Window,2022-02-04,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",14.4287,7.365,3227,"based on novel or book, family business , stalking, class differences, teenage romance, toxic relationship, brothers, family obligations, teenager",112,"Clara Galle, Julio Peña, Guillermo Lasheras, Natalia Azahara, Hugo Arbues",Marçal Forés,Verónica Callón,https://image.tmdb.org/t/p/w200/jmkpZvMVIRrMFevxzOubSBfG0s0.jpg
20th Century Girl,2022-10-06,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",12.53,8.2,729,"coming of age, teenage girl, first love, city life, coming out of habits, fresh city, dreaming of a girl",119,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung",Bang Woo-ri,Yang Jin-mo,https://image.tmdb.org/t/p/w200/dbhk3PV7TmaL0FcelsArLFW0rRO.jpg
Prey,2022-08-02,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",19.9858,7.7,7043,"hunter, native american, alien life-form, alien, prequel, decapitation, bear, dog, severed foot, bear attack, comanche, human vs alien, aggressive, indigenous peoples, severed arm, dog hero, great plains, suspenseful, audacious",100,"Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope",Dan Trachtenberg,"Angela M. Catanzaro, Claudia Castello",https://image.tmdb.org/t/p/w200/h58U7d1OZyuWaCWMYvw4mfnv6H3.jpg
Hellraiser,2022-09-28,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",47.1038,6.2,881,"hell, gore, remake, puzzle box, based on short story, cenobite, horrified",121,"Odessa A'zion, Jamie Clayton, Adam Faison, Drew Starkey, Brandon Flynn",David Bruckner,David Marks,https://image.tmdb.org/t/p/w200/f9ZAIUxTTk23vo1BC9Ur1Rx5c2E.jpg,54003948.0
